trad_char,trad_freq,trad_stroke_count,trad_id,trad_unicode,simpl_char,simpl_stroke_count,english,simpl_freq,flags
謊,3890,17,A03875,8B0A,谎,11,"lie",5481,['diff']
几,3882,2,A00319,51E0,几,2,"small table",192355,['many-to-one']
貿,3881,12,A03948,8CBF,贸,9,"trade",26198,['diff']
魏,3872,18,A04688,9B4F,魏,17,"a surname, name of a dynasty",11161,[]
禦,3864,16,A02903,79A6,御,12,"defend",16586,"['diff', 'many-to-one']"
蘋,3848,20,A03596,860B,苹,8,"apple",3805,['diff']
卜,3843,2,A00443,535C,卜,2,"foretell",7301,['many-to-one']
宵,3817,10,A01029,5BB5,宵,10,"night",1604,[]
屈,3806,8,A01083,5C48,屈,8,"bend",10591,[]
曆,3774,16,A01822,66C6,历,4,"calendar",85487,"['diff', 'many-to-one']"
舌,3769,6,A03402,820C,舌,6,"tongue",7511,[]
匯,3765,13,A00423,532F,汇,5,"confluence",22608,"['diff', 'many-to-one']"
誘,3761,14,A03842,8A98,诱,9,"tempt",10307,['diff']
桂,3750,10,A01916,6842,桂,10,"cinnamon",7877,[]
殿,3733,13,A02094,6BBF,殿,13,"palace",12667,[]
傅,3730,12,A00219,5085,傅,12,"mentor",8256,[]
謙,3729,17,A03873,8B19,谦,12,"humble",4588,['diff']
雀,3727,11,A04450,96C0,雀,11,"sparrow",4675,[]
鑰,3718,25,A04364,9470,钥,9,"key",3772,['diff']
袖,3706,10,A03720,8896,袖,10,"sleeve",10564,[]
叮,3687,5,A00485,53EE,叮,5,"bite (insect)",3188,[]
翰,3686,16,A03244,7FF0,翰,16,"writing brush, writing, a surname",8279,[]
盧,3680,16,A02753,76E7,卢,5,"a surname",10266,['diff']
捧,3679,11,A01593,6367,捧,11,"hold in two hands",4533,[]
憤,3674,16,A01440,61A4,愤,12,"anger",13749,['diff']
猴,3670,12,A02531,7334,猴,12,"monkey",5582,[]
螞,3666,16,A03668,879E,蚂,9,"(combining syllable for insects)",2206,['diff']
跨,3666,13,A04014,8DE8,跨,13,"step over",9404,[]
撕,3658,15,A01668,6495,撕,15,"tear apart",4668,[]
紋,3656,10,A03090,7D0B,纹,7,"fabric patterns",9463,['diff']
划,3646,6,A00337,5212,划,6,"paddle",78648,['many-to-one']
囂,3643,21,A00718,56C2,嚣,18,"outcry, uproar",1930,['diff']
雕,3637,16,A04460,96D5,雕,16,"carve",8713,['many-to-one']
乳,3636,8,A00043,4E73,乳,8,"milk",8701,[]
膀,3633,14,A03355,8180,膀,14,"bladder",7731,[]
仗,3632,5,A00083,4ED7,仗,5,"weapon, battle",10263,[]
筒,3614,12,A03001,7B52,筒,12,"cylinder",6296,[]
辜,3610,12,A04102,8F9C,辜,12,"guilt",3235,[]
桶,3607,11,A01938,6876,桶,11,"pail, bucket, tub",4167,[]
衰,3602,10,A03712,8870,衰,10,"decline",10367,[]
獵,3598,18,A02545,7375,猎,11,"hunt",10561,['diff']
譬,3597,20,A03890,8B6C,譬,20,"analogy",3985,[]
衫,3594,8,A03711,886B,衫,8,"clothing",5802,[]
懇,3589,17,A01453,61C7,恳,10,"sincere",5081,['diff']
凍,3583,10,A00313,51CD,冻,7,"freeze",5984,['diff']
戚,3579,11,A01476,621A,戚,11,"relative",4756,['many-to-one']
